Index;Document_No;Dominant_Topic;Topic_Perc_Contrib;Keywords;Question;Response
0;0;0.0;0.0657;call, year, guy, nice, update, amp, ve, week, receive, status;Erica on the lax team is amazing give her a raise ty;Well be sure to pass along your kind words! #AATeam
1;1;14.0;0.0939;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Could you have someone on your lax team available to guide me to my gate ASAP;Our apologies for the delay in responding to you. Have you made it to LAX? Let us know if you still need assistance.
2;2;5.0;0.1141;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Ben Tennyson and an American Airlines pilot. 🎃 #trunkortreat #halloween #2017 #diycostume #parenting … https://t.co/f1nNHQ0iLa https://t.co/lDViDkRdB1;Aww, thats definitely a future pilot in the making! #HappyHalloween
3;3;15.0;0.0685;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;Right, but I earned those. I also shouldn’t have to pay to pass them to my own spouse. You need to change your program.;Were sorry for your frustration.
4;4;11.0;0.0692;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Thank you, for playing #ThisIsUs and for having great flight attendants on my flight back home!;Were glad you got to kick back and enjoy a show while flying! Thanks for your kind words.
5;5;16.0;0.0876;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;wifi makes Amtraks wifi look pro. At least theirs is free. has decent wifi reasonable prices. Why not AA?;We never want your experience to be anything less than perfect. Were sorry the Wi-Fi was slower than expected.
6;6;3.0;0.066;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Wonderful club! American Airlines Admirals Club in San Francisco, CA) https://t.co/GWFwuGVgNA;Thanks for the shout-out and for stopping by, Marc! Well pass this on to our SFO Admirals Club managers.
7;7;12.0;0.0887;make, change, customer, hope, thing, fee, dm, line, cool, night;already did...changed browsers, did all my techie tricks and still cant make a reservation after 1 hour!!;Theyll be more than happy to walk you through it and help with the booking process.
8;8;1.0;0.0636;cancel, airline, trip, expect, return, buy, chance, full, price, include;........still....on....hold.....they made the booking. I am trying to pay.....so #frustrating.;Were sorry for the long wait. The next available agent will be with you as soon as possible.
9;9;19.0;0.0789;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;well now i am told the ticket cost is an additional $200/person to pay....because of the wait....omg;Fares sell in real time. Were sorry we werent able to snag the lower fare for you.
10;10;19.0;0.0804;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;finally booked and they honored lower fare....that was still available on line;Were glad our Reservations team was able to help.
11;11;0.0;0.05;call, year, guy, nice, update, amp, ve, week, receive, status;Well how much does that help me now?;Were sorry for your frustration. Any damage must be assessed in person within 24 hours of arrival by airport personnel.
12;12;3.0;0.0673;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;I was long gone from the airport by then;An airport agent will be happy to take a look at your bag to assist with a claim but damage must be assessed in person.
13;13;0.0;0.05;call, year, guy, nice, update, amp, ve, week, receive, status;No I was not able to;Our team will need to assess the damage in person, please see an agent for assistance.
14;14;8.0;0.0625;https, today, fly, home, guess, aa, awesome, treat, part, joke;Big thx 2 4 guacamole and margs of thx while the lounge upgrades are underway #nomnom https://t.co/PCW4Vdxbyf;Were happy when youre happy! That sure does look delicious.
15;15;14.0;0.0686;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Oh, my god, she’s been going for ten minutes.;We always want everyone to be comfy. You can ask our crew about any available open seats.
16;16;12.0;0.0913;make, change, customer, hope, thing, fee, dm, line, cool, night;- I give you grief when things go poorly. Here’s some credit: The guacamole in the Admirals Club is an outstanding addition. https://t.co/kfjAW6FMTf;Oh my, that #guac looks delish! Thanks for always sharing the good and the bad, Kevin. #yummy
17;17;1.0;0.0869;cancel, airline, trip, expect, return, buy, chance, full, price, include;Im aware. Fits in overhead.This was a return trip. Had same luggage going. This was pre-security. Gate chck, ok, but Empty overheads on flt;Wed like to share this feedback. Please DM your record locator.
18;18;10.0;0.0913;bag, check, free, carry, luggage, put, bring, cabin, force, fit;"Despite flying w/ same from EWR, forced MIA to check guitar &amp; charged $25. Not gate, B4 security. Flt not full. WHY?";Your guitar must fit underneath the seat in front of you or in an overhead bin. Please see details here: https://t.co/AqqDo7qAE3.
19;19;1.0;0.1196;cancel, airline, trip, expect, return, buy, chance, full, price, include;Yo why are there fifteen empty business class seats and only one person that got upgraded? #Weak #NoTreat? #ThenTrickItIs;Please share your record locator via DMs and we can take look.
20;20;0.0;0.0744;call, year, guy, nice, update, amp, ve, week, receive, status;Still waiting on to compensate for all the crap they put and I through on our honeymoon...almost a year ago. 🤔;Did you file a report with us? If you did, please send us a DM and include that in so we can take a look.
21;21;9.0;0.068;flight, back, problem, happy, hold, long, service, terminal, money, row;Really 7hour international flight and no seat back entertainment screens.. c’mon;We hear you, Liam. Were working as fast as we can to update our fleet and will soon have super fast Wi-Fi to stream movies.
22;22;9.0;0.071;flight, back, problem, happy, hold, long, service, terminal, money, row;I’d still rather have a screen though. Rather not cause neck problems looking down all flight at a tablet;We appreciate your feedback!
23;23;8.0;0.0865;https, today, fly, home, guess, aa, awesome, treat, part, joke;Just have to say the Flight Attenants on Flight 1361 from BDL to ORD we’re awesome! Gate agents at BDL also! They need a shout out for awesome customer service! Treated this NonRev very well!!;Thanks for your kind words! We hope you have a fantastic evening.
24;24;7.0;0.0798;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;En todos los años que tengo volando con #AA nunca había tenido una experiencia como la de ayer 24 vuelo 914 Caracas-Miami. La peor tripulación, desagradable, descortés y con poca vocación de servicio. #NOCALIDAD #servicio;Were very sorry about that, Perla. We always want your experience to go smoothly.
